epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,7466.83,0.94723,1.11398,1.32162,0.77091,0.66878,0.74895,0.53889,1.01971,0.99874,1.34125,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,7564.5,0.95097,1.11378,1.32137,0.7689,0.6704,0.7491,0.53893,1.01949,0.99721,1.34085,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,7661.8,0.94356,1.1034,1.31861,0.76827,0.67168,0.74964,0.53926,1.01926,0.99628,1.34048,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,7760.08,0.94298,1.09489,1.31743,0.76895,0.67127,0.74975,0.53953,1.01908,0.9954,1.33998,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,7856.52,0.93913,1.09192,1.31351,0.7706,0.6711,0.7498,0.53987,1.0188,0.99442,1.33958,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,7951.61,0.93797,1.09104,1.31408,0.77183,0.67109,0.75012,0.54037,1.01854,0.99366,1.33912,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,8048.16,0.93267,1.08666,1.31189,0.77132,0.67102,0.75009,0.54025,1.01838,0.99257,1.33881,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,8144.65,0.93299,1.07148,1.311,0.77251,0.66948,0.7502,0.54046,1.01836,0.99166,1.33854,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,8240.04,0.92996,1.0717,1.30669,0.77413,0.66895,0.7503,0.54039,1.01803,0.9907,1.33796,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,8333.48,0.92661,1.07065,1.30754,0.77301,0.66824,0.75014,0.54083,1.01794,0.98991,1.33762,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,8429.72,0.92773,1.06736,1.30676,0.77416,0.66799,0.75036,0.54125,1.01806,0.98914,1.33751,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,8526.27,0.92071,1.06483,1.3034,0.77688,0.66817,0.75055,0.54129,1.01779,0.98849,1.33725,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,8624.32,0.92388,1.05773,1.30494,0.77748,0.66858,0.75093,0.54148,1.01765,0.98775,1.33695,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,8721.29,0.91648,1.05655,1.29854,0.77843,0.66849,0.7511,0.54201,1.01751,0.98722,1.33674,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
